id,term,description,source,collected_date
254,,전통적인 정액보험료형 상품에 유니버셜보험의 신축성을 가한 보험,한화생명,2025-08-14 14:29:51
519,(영업용) 집기비품,"일반적으로 직업상의 필요에서 사용 도는 소지되는 것으로 점포나 사무실, 작업장에 소재하는 것을 말함.",KNIA,2025-08-14 12:21:26
401,(이율보증형보험) [영 : ],부담금을 납입할 때 단위보험별로 일정이율을 일정기간 보증함. 만기시에 원금과 이자를 지불하는 원리금보장형 상품,KNIA,2025-08-14 12:21:26
534,(자동)갱신계약 → (자동)재계약 / /,근거법령(보험업감독업무시행세칙),DB생명,2025-08-14 13:18:54
538,/ /,"기발생 미통지 손해, 즉 이미 보험사고가 발생하고 있지만 아직 보험자에 통지가 되지 않은 손해를 말하며, 기발생통지손해에 대비되는 것이다. 이 은 보험자의 기간손익계산을 정확히 하는데 아주 중요한 의미가 있다. 보험자인 보험회사는 기간손익계산을 함에 있어서 수익인 보험료를 발생주의의 처지에서 기경과보험료로 파악하기 때문에, 수익에 대응하는 보험의 원가인 보험금(지급보험금·지급준비금)에 대하여도 발생주의에 의하여 파악·계산하는 것이 불가결하기 때문이다.",DB생명,2025-08-14 13:18:54
400,[영 : ],눈길같은 미끄러운 도로에서 제동할때 바퀴가 잠기는 현상을 막아 차체가 돌아가지 않고 가던 방향대로 유지해 주는 기능을 하는 장치,KNIA,2025-08-14 12:21:26
113,12대 중과실사고,"교통사고처리특례법' 제3조(처벌의 특례)에 규정돼 있는 것으로, 이는 보험 가입 여부와 관계없이 형사처벌된다. 12대 중과실 사고는 다음과 같습니다. 1. 신호위반 2. 중앙선 침범 3. 제한 속도보다 20 초과하여 과속 4. 앞지르기 방법, 금지시기, 금지장소 또는 끼어들기의 금지를 위반 5. 철길건널목 통과 방법 위반 6. 횡단보도에서의 보행자 보호의무 위반 7. 무면허 운전 8. 음주운전 9. 보도를 침범 10. 승객추락 방지의무 위반 11. 어린이보호구역 안전운전의무 위반 12. 자동차 화물이 떨어지지 않도록 필요한 조치를 하지 않고 운전",KNIA,2025-08-14 12:21:26
535,1급장해(=고도의 장해) / 1 /,보험대상자(피보험자)가 질병 또는 재해로 인하여 신체상의 장해가 영구히 남아 신체의 기능을 완전히 상실하거나 또는 현저히 감소한 후 유장해 상태로써 고도의 장해라고도 한다.,DB생명,2025-08-14 13:18:54
745,1회의 사고,"하나의 원인 또는 사실상 같은 종류의 위험에 계속적, 반복적 또는 누적적으로 노출되어 그 결과로 발생한 사고로써 피보험자나 피해자의 수 또는 손해배상청구의 수에 관계없이 1회의 사고로 봅니다.",KNIA,2025-08-14 12:21:26
187,"2인(3인,다인) 보장보험","부모, 자녀 등 2인 이상의 피보험자(보험대상자)의 생사에 관련시켜서 어느 일정조건을 충족시킬 때에 보험금이 지급되는 생명보험을 말한다. 이를테면, 어린이보험은 어린이를 피보험자(보험대상자)로 해서 계약하는 보험인데, 그 방식은 어린이를 피보험자(보험대상자)로 하는 생존보험과 부양자를 피보험자(보험대상자)로 하는 정기보험을 혼합한 2인(3인,다인) 보장보험의 일종인 것이다.~~",한화생명,2025-08-14 14:29:51
520,3종승합자동차,법정승차정원 11인 이상 16인 이하의 승합자동차,KNIA,2025-08-14 12:21:26
757,5대위험,"침몰(\), 좌초, 교사, 화재, 충돌의 다섯가지의 가장 대표적인 해상위험을 말한다. 개개의 영문 머릿글자를 따서 라고도 불리워진다. 5대위험은 모두 선박보험이나 해상적하보험의 기본적인 담보위험으로 되어 있다.",KIDI_BIGIN,2025-08-13 17:23:13
521,6종건설기계,"건설기계 중 자동차보험 가입이 의무화되어 있는 6가지 건설기계. 덤프트럭, 큰크리트 믹서트럭, 타이어식 기중기, 콘크리트 펌프, 아스팔트 살포기 및 타이어식 굴삭기가 이에 해당됨",KNIA,2025-08-14 12:21:26
2,가계보험,가정,KIDI_BIGIN,2025-08-13 17:22:45
37,가계보험,"가정의 경제생활을 위협하는 여러 가지 위험에 대처하기 위하여 개인이 자기 책임 하에 가입하는 보험. 기업경영의 입장에서 이용되는 기업보험에 대비된다. 가족의 생명이나 신체에 관한 위험에 대비하기 위한 생명보험/상해보험, 개인의 주거나 가재에 대한 화재보험, 그리고 자가용 자동차에 대한 자동차보험 등이 가계보험에 속한다.",한화생명,2025-08-14 14:29:51
1,가계보험 / /,"가정의 경제생활을 위협하는 여러가지 위험에 대처하기 위하여 개인이 자기 책임하에 가입하는 보험. 기업보험에 대비된다. 가족의 생명이나 신체에 관한 위험에 대비하기 위한 생명보험·상해보험, 개인의 주거나 가재에 대한 화재보험, 그리고 자가용 자동차에 대한 자동차보험 등이 가계보험에 속한다.",DB생명,2025-08-14 13:18:54
5,가계약,보험회사나 대리점에 의하여 보험증권이 발행될 때까지의 무보험 상태를 메꾸기 위한 가계약을 말한다. 물론 이는 확정적이며 단시일이라는 요건이 필요하다.,KIDI_BIGIN,2025-08-13 17:22:45
2,가계약 / /,보험증권이 발행될 때까지의 무보험 상태를 메꾸기 위한 계약을 말한다.,DB생명,2025-08-14 13:18:54
6,가망고객,"유망고객이라고도 하며 보험가입 가능성이 많은 고객을 뜻한다. 가스사고 배상책임보험(가스 ) 가스 사업자 ̇가스 용기 등 제조업자 및 가스 사용자가 가스 사고로 인하여 부담하는 법률상의 배상책임을 보상하는 배상책임보험으로서, 그 내용은 시설소유(관리)자 배상책임과 생산물 배상책임이 합쳐져 하 나의 독립 약관으로 구성된 것이다. 가스사업자 및 가스 사용자는 법에 의해서 의무적으로 이 보험에 가입하게 되어 있다.",KIDI_BIGIN,2025-08-13 17:22:45
1,가망고객,"유망고객이라고도 하며, 보험가입 가능성이 높은 고객을 뜻한다.",한화생명,2025-08-14 14:29:51
3,가망고객 / /,유망고객이라고도 하며 보험가입 가능성이 높은 고객을 뜻한다.,DB생명,2025-08-14 13:18:54
532,가산보험금 / /,보험금 지급 당시의 적립액과 예정책임준비금의 차액을 말한다.(회사별/상품별로 약간의 차이가 있을 수 있음.,DB생명,2025-08-14 13:18:54
1,가산연금,연금지급개시일 이후에 발생된 계약자배당준비금에 의한 연금액(년 1회 지급),KNIA,2025-08-14 12:21:26
2,가스배상책임보험,"피보험자가 공급·사용·판매한 가스(용품)으로 가스사고가 발생한 경우, 그 사고로 인한 제 3자에 대한 배상책임손해를 보상하는 보험(가스사업자, 용기 등 제조업자, 가스사용자 등)",KNIA,2025-08-14 12:21:26
3,가입경력선정인,"자동차보험의 운전가능한 피보험자 중 가족(가족한정는 형제,자매 포함) 또는 지정운전자로서 기명피보험자가 지정한 1인으로 해당 보험계약의 유효한 기간만큼 자동차보험 가입경력으로 인정받는 자",KNIA,2025-08-14 12:21:26
