일련번호,단어명,설명세부내용,쉬운용어단어명
1,요양급여(보험급여),"건강보험에 포함된 행위, 약제, 치료재료 등을 말함",
2,진료비확인,"국민이 요양기관에서 진료를 받고 지불한 비용 중 전액본인부담금과 비급여 진료비가 법령에서 정한 기준에 맞게 부담되었는지를 확인하고, 국민건강보험공단이나 해당 요양기관을 통해 과다본인부담금을 돌려받을 수 있도록 하는 권리구제제도 <출처 : 「국민건강보험법」제48조(요양급여 대상여부의 확인 등) 「의료급여법」제11조의3(급여대상 여부의 확인 등)>",
3,긴급의료지원비,긴급복지지원법에 따라 시·군·구가 지원하는 의료비를 말함,
4,긴급의료지원진료비확인,긴급의료지원비를 지원한 시·군·구와 지원받은 대상자가 진료비확인을 요청하는 제도,
5,권리구제 제도,"국민이 법에 어긋나거나 부당한 행정처분으로 권리나 이익을 침해받았을 때, 그에 대한 시정을 요구하여 구제를 받을 수 있게 한 제도<출처: 국립국어원>",
6,의료급여제도,의료급여법에 따라 생활이 어려운 자에게 의료비를 지원하는 제도,
7,OJT교육,On the Job Training(현장직무교육),
8,요양급여대상여부,급여 비급여 여부,
9,행위,"환자의 치료할 때 수행되는 수술, 검사, 처치 등과 같은 의료행위",
10,결정신청,요양급여대상여부가 평가되지 아니한 새로운 행위에 대하여 요양급여대상여부 평가 신청,
11,조정신청,"이미고시된 행위에 대하여 요양급여 대상, 비급여대상, 상대가치점수의 조정을 신청",
12,행위별수가제(fee-for-service),"요양기관에서 의료인이 제공한 의료서비스(행위, 약제, 치료재료 등)에 대해 서비스별로 가격(수가)을 정하여 사용량과 가격에 의해 진료비를 지불하는 제도로 우리나라 건강보험제도는 도입 당시부터 행위별 수가제도(fee-for-service)를 채택하고 있음",
13,요양기관종별가산율,"요양기관의 종별 규모에 따라 시설, 인력, 장비 등의 투자비용 등을 고려하여 요양기관 종별에 따라 가산 적용",
14,본인부담율,"요양급여비용 중 본인이 부담할 비용으로 본인일부부담, 전액본인부담 등으로 구성",
15,건강보험보장성강화,국민의 의료수요 요구를 만족시키기 위해 지속적인 급여 범위 확대 및 적정진료 보장,
