id,term,description,source,collected_date
1,안전거리 확보의무,"모든 차의 운전자는 선행 차량의 흐름에 주의하여 안전거리를 유지하며 운전할 의무가 있습니다. 다만, 선행 차량이 위험방지나 부득이한 사유없이 급제동하는 경우, 도로의 제한 속도, 주변 차량의 흐름 및 통행량, 차로의 수, 정지한 차로의 형태 및 도로구조 등 제반 사정을 선행 차량의 가산요소로 고려할 수 있습니다.",KNIA 과실비율 용어해설,2025-08-14 15:48:54
2,긴급자동차,[도로교통법 제2조 제22호] “긴급자동차”란 다음 각 목의 자동차로서 그 본래의 긴급한 용도로 사용되고 있는 자동차를 말한다. 가. 소방차 나. 구급차 다. 혈액 공급차량 라. 그 밖에 대통령령으로 정하는 자동차,KNIA 과실비율 용어해설,2025-08-14 15:48:54
3,횡단보도,[도로교통법 제2조 제12호] “횡단보도”란 보행자가 도로를 횡단할 수 있도록 안전표지로 표시한 도로의 부분을 말합니다.,KNIA 과실비율 용어해설,2025-08-14 15:48:54
4,길가장자리구역,[도로교통법 제2조 제11호] “길가장자리구역”이란 보도와 차도가 구분되지 아니한 도로에서 보행자의 안전을 확보하기 위하여 안전표지 등으로 경계를 표시한 도로의 가장자리 부분을 말합니다.,KNIA 과실비율 용어해설,2025-08-14 15:48:54
5,중앙선,"[도로교통법 제2조 제5호] “중앙선”이란 차마의 통행 방향을 명확하게 구분하기 위하여 도로에 황색 실선(實線)이나 황색 점선 등의 안전표지로 표시한 선 또는 중앙분리대나 울타리 등으로 설치한 시설물을 말합니다. 다만, 제14조 제1항 후단에 따라 가변차로(可變車路)가 설치된 경우에는 신호기가 지시하는 진행방향의 가장 왼쪽에 있는 황색 점선을 말합니다.",KNIA 과실비율 용어해설,2025-08-14 15:48:54
6,주차와 정차,[도로교통법 제2조 제24호] ＂주차＂란 운전자가 승객을 기다리거나 화물을 싣거나 차가 고장 나거나 그 밖의 사유로 차를 계속 정지 상태에 두는 것 또는 운전자가 차에서 떠나서 즉시 그 차를 운전할 수 없는 상태에 두는 것을 말합니다. [도로교통법 제2조 제25호] ＂정차＂란 운전자가 5분을 초과하지 아니하고 차를 정지시키는 것으로서 주차 외의 정지 상태를 말합니다.,KNIA 과실비율 용어해설,2025-08-14 15:48:54
7,회전위험장소와 회전금지장소,"회전위험장소란 시야가 불량한 굴곡도로, 고개마루 부근, 교차로, 도로의 모퉁이 부근, 차량의 속도가 높고 교통량이 특히 빈번한 도로, 눈이나 비로 인해 미끄러지기 쉬운 장소를 말합니다. 회전금지장소란 중앙선이나 기타 교통표지에 의해 회전이 금지된 장소를 말합니다.",KNIA 과실비율 용어해설,2025-08-14 15:48:54
8,교차로 정체중 진입(꼬리물기),"[도로교통법 제25조 제5항] 모든 차의 운전자는 ‘신호기로 교통정리를 하고 있는 교차로’에 들어가려는 경우, 진행하려는 진로의 앞쪽에 있는 차의 상황에 따라서 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 안됩니다. 이를 위반하고 앞차를 따라 교차로를 진행하다가 교차로 내에 차가 정체하는 경우를 꼬리물기라고 합니다. 교차로에 진입 했을 때 신호의 준수 여부와 관계 없이 적용됩니다.",KNIA 과실비율 용어해설,2025-08-14 15:48:54
9,진로변경,본인의 주행차로에서 다른 차로로 이동하는 경우를 진로변경이라고 합니다. 도로교통법 제38조 등에 따라 진로변경하는 지점에 이르기 전 30미터(고속도로에서는 100미터) 이상의 지점에 이르렀을 때 진로변경 신호를 해야 합니다.,KNIA 과실비율 용어해설,2025-08-14 15:48:54
10,전용차로,"[도로교통법 시행령 별표 1] 도로교통법 시행령 별표 1에 명시된 버스 전용차로, 다인승 전용차로, 자전거 전용차로를 전용차로라고 합니다. ※ 전용차로를 위반한 자동차에게 과실을 가산하며, 노선버스 등 전용차로 운행차량이 전용차로를 이탈하여 타차로로 차로변경 중 일어난 사고에도 동일하게 과실을 가산합니다.",KNIA 과실비율 용어해설,2025-08-14 15:48:54
11,"진로변경, 앞지르기, 끼어들기 등 금지","운전자는 안전표지가 설치(차선이 실선으로 되어 있는 곳 등)되어 특별히 진로 변경이 금지된 곳에서는 자동차의 진로를 변경하여서는 안되므로 그러한 경우 과실을 가산합니다. 다만, 도로의 파손이나 도로공사 등으로 인하여 장애물이 있는 경우에는 과실을 가산하지 않습니다.(도로교통법 제14조 참조). 버스전용차로 방향으로 진로변경 중 사고는 전용차로위반과 중복되므로 중복 가산하지 않습니다. 운전자는 다른 자동차를 앞지르기 위해 앞차의 좌측으로 통행해야 하며, 도로교통법 제22조의 앞지르기가 금지된 시기 및 장소에서 앞지르기를 할 수 없으므로 그럴 경우 과실을 가산합니다. 운전자는 도로교통법 제23조에 따라 동법에 따라 정지 및 서행하고 있는 차 앞으로 끼어들지 못하므로 그럴 경우 과실을 가산합니다.",KNIA 과실비율 용어해설,2025-08-14 15:48:54
