id,question,answer,source,collected_date
1,[분쟁해결절차] 과실비율분쟁심의위원회 심의 대상에 어떤 조건이 있나요?,"과실비율분쟁심의위원회 심의청구 대상의 조건은 다음과 같습니다. 1. 보험사(또는 공제사)에 사고접수가 되어 있을 것
2. 자동차보험(공제) 담보에 해당할 것
3. 과실비율 및 구상금에 관한 분쟁일 것
4. 공제사에 대한 청구는 자동차상해담보가 아닐 것",KNIA 과실비율 FAQ,2025-08-14 15:48:16
2,[분쟁해결절차] 과실비율분쟁심의위원회에서 심의하는 대상(분쟁)과 진행절차는 어떻게 되나요?,"과실비율분쟁심의위원회에서는 심의하는 대상은 다음과 같이 크게 두가지로 나눌 수 있습니다. 1. 구상금분쟁 : 과실비율 미합의로 인해 자차담보(자동차상해, 대인담보 등)로 먼저 보상처리한 보험회사가 상대편 보험회사를 상대로 구상금을 청구하는 건으로, 3단계 절차(대표협의회-소심의위원회-재심의위원회)에 따라 심의를 진행합니다.
2. 구상금분쟁 외 : 자차담보 미가입차량, 동일보험사 가입차량간 과실비율분쟁 건으로, 구상금분쟁과는 달리 단계별 절차가 없으며 과실비율에 대한 심의 의견을 1회 제공합니다.",KNIA 과실비율 FAQ,2025-08-14 15:48:16
3,[가해자 과실] 사거리(+자형) 교차로와 비교할 때 삼거리(T자형) 교차로에서는 회전차량에 대한 과실을 10% 가산하던데 왜 그런 건가요?,"◑ 도표예시 : 과실비율 인정기준 도표 240도 삼거리 교차로에서 좌(우)회전차와 직진차의 사고를 예시로 하겠습니다. ◑ 비교예시 : 동일폭 교차로에서 우회전차와 직진차의 동시진입 사고 비교입니다.
 - 도표 229(사거리) => 우회전 차량 60% : 직진 차량 40%
 - 도표 240(삼거리) => 우회전 차량 70% : 직진 차량 30% ◑ 가산이유 : 도로교통법에서는 교차로에서의 통행방법 등에 관하여 교차로 형태의 차이(사거리[+자형], 삼거리[T자형] 등) 에 따른 규제내용을 명확히 하고 있지는 않습니다. 그러나 통상 사거리 교차로에 들어가려는 좌(우)회전차는 교차로를 통행하는 차량뿐만 아니라 반대방향에서 진행해 오는 좌회전차량 등에게도 주의하여야 하는데 반해, 막다른 길에서 삼거리 교차로로 진입하려는 좌(우)회전차는 직진도로를 통행하는 차량 등만 주의하면 충분하므로 사거리 교차로에서보다 주의하기가 더 쉽습니다(상대적인 의미입니다.). 또한 삼거리 교차로에서 직진하는 차량도 막다른 길에서 교차로로 진입하는 차량이 서행 또는 주의할 것이라고 기대하는 것이 일반적이므로 예측성과 주의력이 떨어집니다.(이 또한 상대적인 의미입니다.) → 삼거리 교차로에서의 좌(우)회전차는 사거리 교차로에 비해 직진차의 통행을 주의하여 안전운전하기가 상대적으로 쉽지만, 직진차량은 회전차량의 진행을 인지하기가 상대적으로 어려우므로, 사고 발생시 회전차량에게 주의의무를 소홀히 한 책임이 추가된다고 보아 기본과실 10%를 가산하는 것입니다..",KNIA 과실비율 FAQ,2025-08-14 15:48:16
4,[피해자 과실] 교통사고가 발생하면 무과실(0%과실)은 없다고 하던데 무과실(0%과실)을 받기 어려운가요?,"2015년 대물사고가 약 340만건이 발생하였으며, 그 중에서 78%(약 260만건)가 100:0 종결처리 되었습니다.
따라서 교통사고가 나면 무과실이 없다는 것은 사실무근의 소문에 불과합니다. 대부분 사고당사자간 원만한 합의로 100:0 종결되나 다음과 같은 경우 쌍방과실을 시작으로 과실협의를 할 수 밖에 없습니다.
1. 가해자가 피해자의 과실을 주장하는 경우
2. 가해자가 본인이 피해자로 주장하는 경우
3. 피해자가 사고현장 및 과실협의 과정에서 과실이 일부 있음을 인정하는 경우 다만 상대방이 인정하지 않았다고 해서 최종 과실결정이 쌍방과실로 귀결되는 것은 아닙니다.
제출된 입증자료를 통해서 100:0의 사실관계가 명확한 경우, 보험사가 100:0 과실을 고객에게 안내하고 있으며, 상대편이 인정하지 않더라도 분쟁심의에서 100:0 과실이 주어지기도 합니다.(이는 소송에서도 동일합니다.)",KNIA 과실비율 FAQ,2025-08-14 15:48:16
5,[피해자 과실] 상대편이 100% 과실을 인정하고 있어서 저는 무과실(0%과실)인 것 같은데 보험사에서 저에게 과실이 있다고 합니다. 보험사를 믿을 수 있을까요?,"상대편에서 100%과실을 인정할 경우 본인의 보험사에서 고객에서 과실이 있다고 할 이유는 없습니다.
본인의 과실이 0%로 결정되면 본인의 보험사에서 지출되는 비용이 발생하지 않기 때문입니다.
또한 100:0 과실의 경우 과실상계 등을 생략하므로 행정적으로도 보험사의 업무량(사고조사, 구상, 치료, 정비 등)도 대폭 감축됩니다. 최초 100% 과실을 인정했던 상대편 운전자가  이후  변심하여 보험사를 통해 우회적으로 상대측도 과실이 있음을 주장하는 경우가 있을 수 있습니다. 이럴 경우 상대편이 100% 과실을 인정했다는 입증자료(녹취록, 합의서 등)를 보험사에 제시하여 과실협의를 진행하시기 바랍니다.",KNIA 과실비율 FAQ,2025-08-14 15:48:16
6,[피해자 과실] 교차로에서 사고가 발생했습니다. 제가 소로에서 진행하고 있어서 상대편보다 많은 과실이 주어지던데 교차로 통행방법에 따른 우선순위가 있나요?,"교차로에서 사고가 발생한 경우에는 신호가 가장 우선됩니다. 그러나 신호가 없거나 신호로 우선할 수 없는 진행일 경우 다음과 같은 원칙과 우선순위가 있습니다. [도로교통법 제25조, 제26조]
1. 양차량 우회전시 우측차 우선
2. 좌회전시 교차로 중심 안쪽으로 회전
3. 추월 금지
4. 꼬리물기 금지
6. 일시정지 및 양보 표지판·노면표시 준수
7. 선진입>후진입 -> 대로>소로 -> 우측직진>좌측직진 순 대로/소로 구분이 되는 교차로에서 직진차량간 사고가 발생하였을 경우, 다른 사실관계가 동일하다면 소로에서 주행한 차량에게 기본과실 70%가 주어집니다. (도표 206 참조)",KNIA 과실비율 FAQ,2025-08-14 15:48:16
7,[피해자 과실] 갑자기 상대편 차량이 제 앞에 끼어들어 도저히 피할수 없었습니다. 그런데도 왜 내게 과실이 있다고 하는걸까요?,"끼어들기로 인한 사고(도표 252 참조)의 경우 피해자가 0%과실로 결정되기 위해선 상대가 100% 과실을 인정하거나 관련 입증자료(블랙박스 영상 등)를 가지고 과실 협의를 진행해야 합니다. 하지만 입증자료를 보유하고 있다는 것과 갑자기 끼어들어 회피할 수 없었음이 인정되는 것은 별개입니다. ""갑자기 끼어들어 회피할 수 없다.""에 대한 판단은 주관적인 판단이므로, 본인이 영상을 보유하고 있어 영상을 상대방 및 보험사에 확인해 주었다고 해도 본인의 생각과 상대방 및 보험사의 생각이 다를 수 있습니다. 또한 분쟁심의위원회에서는 관련 판단을 위해 상당시간 사고전후의 차량진행 궤적, 주변차량의 정체상태 등을 고려하고 있어 단순 사고시점 장면만을 가지고 ""갑자기 끼어들어 회피할 수 없다.""를 판단하기 어렵습니다.(이는 소송에서도 동일합니다.) 단, 실선추월사고(도표 252-1), 정체중 급차로변경(도표 252-3) 등의 경우에는 일방과실로 기준을 두고 있습니다.",KNIA 과실비율 FAQ,2025-08-14 15:48:16
8,[피해자 과실] 상대차량이 중앙선을 침범해서 사고가 발생했어요. 12대 중과실이라서 상대편 차량의 과실이 100%인 것 같은데 제게도 과실이 주어지나요?,"일반적으로 중앙선을 침범한 차량에게 100% 과실이 주어지고 있습니다.(도표 249 참조)
다만 과실비율 인정기준 상 수정요소 또는 중앙선 침범이 불가피한 것이였는지에 따라 중앙선 침범 차량에 부딪힌 차량에도 과실이 주어지기도 합니다.(불법주정차로 인해 중앙선을 넘어갈 수 밖에 없었고 이를 마주오는 차량이 확인할 수 있는 경우 등)",KNIA 과실비율 FAQ,2025-08-14 15:48:16
9,[가해자 과실] 무단횡단한 보행자와 사고가 났어요. 잘못은 무단횡단한 보행자에게 있는데 왜 제 과실이 더 많을까요?,"과실 산정의 원칙에 우자(優者) 위험부담의 원칙이 있습니다.
강자에게 더 강한 주의의무가 있다는 것이며, 이로 인해 차량과 보행자간에는 보행자 우선의 원칙이 있다는 것입니다.
구체적인 사고상황에 따라 과실은 다르지만 횡단보도 근처 무단횡단 사고에서(도표 120 참조) 보행자는 도로의 횡단 법규(도로교통법 제10조)를 위반했고, 차량 운전자는 보행자의보호 법규(도로교통법 제27조)를 위반을 했습니다.
양쪽 모두 법규위반에 대한 과실의 책임이 있지만, 우자(優者) 위험부담의 원칙에 따라 강자인 차량에게 더 많은 과실이 주어지게 됩니다.
(단, 구체적인 상황에 따라 다르게 판단될 수 있습니다.)",KNIA 과실비율 FAQ,2025-08-14 15:48:16
10,[가해자 과실] 상대차량이 음주운전을 했다고 확인되었어도 저의 과실이 더 많게 결정되었어요. 음주운전은 벌금도 부과되는 범죄행위인데 그 이유가 뭔가요?,"운전자의 법규위반 행위는 과실을 결정함에 있어 중요한 요인중 하나입니다. 그러나 그보다는 사고의 직접적인 원인이 되었던 사고 당시의 운전자의 행위가 더 중요합니다.
예를 들어, 정상속도로 직진 중인 음주운전차량과 진로변경차량간 사고의 경우 진로변경을 사고의 직접적인 원인으로 판단하여  진로변경차량을 가해자로 보게 됩니다.
이와는 별개로 음주운전자는 음주운전에 대한 형사 처벌 및 행정 처분을 받게 됩니다.",KNIA 과실비율 FAQ,2025-08-14 15:48:16
