회사명,주소,웹사이트,전화번호
메리츠화재해상보험주식회사,서울특별시 강남구 역삼동 825-2,www.meritzfire.com,1566-4982
LIG손해보험주식회사,서울특별시 강남구 역삼동 649-11,www.lig.co.kr,1588-0114
한화손해보험주식회사,서울특별시 중구 태평로 2가 43번지,www.hwgeneralins.com,1566-8000
동부화재해상보험주식회사,서울 강남구 대치동 891-10,www.idongbu.com,1588-0100
롯데손해보험주식회사,서울특별시 중구 남창동 51-1,www.lotteins.co.kr,1588-3344
AXA손해보험주식회사,서울시 동작구 신대방동 395-70 전문건설회관 12층,http://www.axa.co.kr/,1566-1566
MG손해보험주식회사,서울시 강남구 테헤란로 335 MG손해보험빌딩,www.mggeneralins.com,1588-5959
더케이손해보험주식회사,서울시 종로구 인의동 112-1 한국교직원공제회 동원회관,www.educar.co.kr,1566-3000
흥국화재해상보험주식회사,서울 특별시 종로구 신문로 1가 226,www.insurance.co.kr,1688-1688
차티스(아메리칸 홈 어슈어런스 캄파니 한국지사),서울 종로구 서린동 136 서울센트럴B/D 18층,www.chartis.co.kr,1544-0911
삼성화재해상보험주식회사,서울특별시 중구 을지로1가 87,www.samsungfire.com,1588-5114
에르고다음다이렉트자동차보험,서울특별시 강남구 역삼동 708-6,www.ergodaumdirect.co.kr,1544-2580
현대해상화재보험주식회사,서울특별시 세종로 178,www.hi.co.kr,1588-5656
현대하이카다이렉트,서울 영등포구 당산동 3가 393-2 번지,www.hicardirect.com,1577-1001
