term_clean,description
FEOL(flexible enhance ordinary life),전통적인 정액보험료형 상품에 유니버셜보험의 신축성을 가한 보험
집기비품,"일반적으로 직업상의 필요에서 사용 도는 소지되는 것으로 점포나 사무실, 작업장에 소재하는 것을 말함."
GIC,부담금을 납입할 때 단위보험별로 일정이율을 일정기간 보증함. 만기시에 원금과 이자를 지불하는 원리금보장형 상품
ABS,눈길같은 미끄러운 도로에서 제동할때 바퀴가 잠기는 현상을 막아 차체가 돌아가지 않고 가던 방향대로 유지해 주는 기능을 하는 장치
1급장해,보험대상자(피보험자)가 질병 또는 재해로 인하여 신체상의 장해가 영구히 남아 신체의 기능을 완전히 상실하거나 또는 현저히 감소한 후 유장해 상태로써 고도의 장해라고도 한다.
1회의 사고,"하나의 원인 또는 사실상 같은 종류의 위험에 계속적, 반복적 또는 누적적으로 노출되어 그 결과로 발생한 사고로써 피보험자나 피해자의 수 또는 손해배상청구의 수에 관계없이 1회의 사고로 봅니다."
3종승합자동차,법정승차정원 11인 이상 16인 이하의 승합자동차
가계보험,가정
가계약,보험증권이 발행될 때까지의 무보험 상태를 메꾸기 위한 계약을 말한다.
가망고객,"유망고객이라고도 하며, 보험가입 가능성이 높은 고객을 뜻한다.
유망고객이라고도 하며 보험가입 가능성이 높은 고객을 뜻한다."
가입경력선정인,"자동차보험의 운전가능한 피보험자 중 가족(가족한정Ⅱ는 형제,자매 포함) 또는 지정운전자로서 기명피보험자가 지정한 1인으로 해당 보험계약의 유효한 기간만큼 자동차보험 가입경력으로 인정받는 자"
가입자특성요율,기명피보험자의 보험가입경력 및 교통법규위반경력에 따라 적용되는 요율
가재도구,"일반적으로 일상의 가정생활용구로서 소유하고 있는 가구, 의류, 장신구, 침구류, 식료품, 연료 기타 가정생활에 필요한 일체의 물품을 포괄함."
