"도로형태_대분류","도로형태","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"단일로","터널안","773","21","314","1306","160"
"단일로","교량위","1446","49","518","1964","169"
"단일로","고가도로위","646","15","184","833","68"
"단일로","지하차도(도로)내","2614","72","910","2871","235"
"단일로","기타단일로","99390","1858","30552","103548","11075"
"교차로","교차로내","72261","717","24279","81377","7159"
"교차로","교차로횡단보도내","8202","161","3571","4901","460"
"교차로","교차로부근","33962","327","9173","39064","3438"
"철길건널목","철길건널목","8","2","8","5","0"
"기타/불명","기타/불명","10298","127","2797","9655","1118"
