시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,778,6,209,759,82
서울,중구,854,3,250,826,80
서울,용산구,1014,5,257,1071,41
서울,성동구,1057,8,259,1040,63
서울,동대문구,1390,17,381,1163,112
서울,성북구,1285,15,305,1216,85
서울,도봉구,591,3,199,495,74
서울,은평구,867,11,294,817,107
서울,서대문구,930,9,236,810,160
서울,마포구,1102,14,299,1096,178
서울,강서구,1501,13,414,1517,111
서울,구로구,1350,9,317,1316,96
서울,영등포구,2178,15,472,2270,225
서울,동작구,1148,11,243,1115,162
서울,관악구,1419,8,336,1438,55
서울,강남구,3820,10,676,4192,307
서울,강동구,1047,9,301,1050,62
서울,송파구,2607,14,626,2594,289
서울,서초구,2118,8,406,2331,195
서울,양천구,1305,14,318,1260,114
서울,중랑구,1373,7,327,1324,175
서울,노원구,1413,8,352,1422,166
서울,광진구,922,4,207,963,46
서울,강북구,1017,6,273,962,67
서울,금천구,827,16,205,876,86
부산,중구,265,3,95,242,20
부산,서구,433,2,131,413,46
부산,동구,484,5,121,466,39
부산,영도구,341,4,123,312,27
부산,부산진구,1662,10,511,1624,135
부산,동래구,839,5,236,788,62
부산,남구,705,4,203,637,58
부산,북구,566,7,164,536,47
부산,해운대구,968,9,277,970,103
부산,사하구,876,14,335,737,71
부산,금정구,871,7,250,861,140
부산,강서구,783,15,279,856,53
부산,연제구,666,2,219,621,64
부산,수영구,664,4,194,632,45
부산,사상구,705,12,242,623,52
부산,기장군,511,10,148,614,35
경기,수원시,4615,25,968,5191,508
경기,성남시,3398,27,829,3509,413
경기,의정부시,1690,18,361,1758,235
경기,안양시,1182,13,330,1293,67
경기,부천시,3436,19,743,3700,212
경기,안산시,3821,20,929,4310,286
경기,평택시,3321,36,775,3779,497
경기,광명시,992,10,227,990,130
경기,구리시,737,9,176,864,34
경기,양주시,998,6,246,1135,67
경기,여주시,538,14,155,735,39
경기,화성시,3075,37,796,3536,216
경기,시흥시,2385,32,625,2781,209
경기,파주시,1708,28,458,1816,154
경기,고양시,3532,39,887,3829,285
경기,광주시,2265,17,506,2749,226
경기,연천군,199,6,68,243,10
경기,포천시,914,15,260,1093,57
경기,가평군,367,10,128,496,27
경기,양평군,504,20,191,564,57
경기,이천시,1192,14,266,1471,123
경기,용인시,3603,31,791,4072,538
경기,안성시,1072,24,295,1284,138
경기,김포시,1775,18,503,2062,104
경기,동두천시,351,2,76,375,26
경기,과천시,168,1,41,202,13
경기,군포시,622,9,159,621,124
경기,남양주시,2136,18,522,2604,131
경기,오산시,1108,7,263,1107,201
경기,의왕시,433,3,132,452,40
경기,하남시,1195,9,238,1291,202
강원,춘천시,1361,23,277,1505,206
강원,원주시,1718,20,473,2053,94
강원,동해시,362,2,111,464,4
강원,강릉시,653,17,216,738,11
강원,속초시,384,2,162,418,4
강원,태백시,190,7,37,223,8
강원,삼척시,257,6,79,303,2
강원,홍천군,329,18,121,427,16
강원,횡성군,208,9,88,203,13
강원,영월군,136,2,91,113,23
강원,평창군,178,4,84,270,42
강원,정선군,167,6,56,182,6
강원,철원군,125,6,36,169,2
강원,화천군,96,2,26,127,16
강원,양구군,81,6,25,88,9
강원,인제군,88,7,51,93,10
강원,고성군,119,5,74,115,10
강원,양양군,153,3,63,182,2
충북,청주시,4141,49,1204,4828,160
충북,충주시,1147,25,403,1316,78
충북,제천시,706,15,273,818,53
충북,보은군,136,10,55,174,2
충북,옥천군,153,9,77,121,2
충북,영동군,145,8,98,102,2
충북,진천군,491,16,155,528,20
충북,괴산군,181,6,79,223,12
충북,음성군,528,12,213,576,25
충북,단양군,147,7,63,162,3
