모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
토요타 Prius AWD,토요타,휘발유,1798 ,무단변속,20.9,1등급,74
"코나 1.6GDI 하이브리드 (18"" 타이어)",현대,휘발유,1580 ,자동6,17.4,1등급,92
"코나 1.6GDI 하이브리드 (16"" 타이어)",현대,휘발유,1580 ,자동6,19.3,1등급,82
"코나 1.6디젤 2WD (16"" 타이어)",현대,경유,1598 ,자동7,17.5,1등급,105
"코나 1.6디젤 2WD (17"" 타이어)",현대,경유,1598 ,자동7,17.3,1등급,107
"코나 1.6디젤 2WD (18"" 타이어)",현대,경유,1598 ,자동7,16.8,1등급,110
"K7 2.4하이브리드 (PE/17""타이어)",기아,휘발유,2359 ,자동6,16.2,1등급,97
쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어,현대,휘발유,1999 ,자동6,19.1,1등급,83
쏘나타(DN8) 2.0GDI 하이브리드_17인치(빌트인캠),현대,휘발유,1999 ,자동6,18.8,1등급,85
쏘나타(DN8) 2.0GDI 하이브리드_16인치타이어,현대,휘발유,1999 ,자동6,20.1,1등급,79
쏘나타(DN8) 2.0GDI 하이브리드_16인치(빌트인캠),현대,휘발유,1999 ,자동6,19.8,1등급,80
"셀토스 1.6디젤 2WD (18""타이어)",기아,경유,1598 ,자동7,16.4,1등급,113
"셀토스 1.6디젤 4WD (16"" 타이어)",기아,경유,1598 ,자동7,16.1,1등급,116
"셀토스 1.6디젤 2WD (16"" 타이어)",기아,경유,1598 ,자동7,17.6,1등급,105
"셀토스 1.6디젤 2WD (17"" 타이어)",기아,경유,1598 ,자동7,17,1등급,109
토요타 Prius 2WD,토요타,휘발유,1798 ,무단변속,22.4,1등급,68
렉서스 UX250h 2WD,토요타,휘발유,1987 ,무단변속,16.7,1등급,95
토요타 Camry Hybrid LE,토요타,휘발유,2487 ,무단변속,17.5,1등급,92
아반떼(AD PE) 1.6디젤 7DCT,현대,경유,1582 ,자동7,17.8,1등급,104
아반떼(AD PE) 1.6디젤_7DCT (17''타이어),현대,경유,1582 ,자동7,17.2,1등급,108
QM3 1.5 DIESEL,르노삼성,경유,1461 ,자동6,17.4,1등급,106
CLIO,르노삼성,경유,1461 ,자동6,17.1,1등급,108
말리부 1.8 HYBRID,한국지엠,휘발유,1796 ,무단변속,17.1,1등급,95
토요타 Avalon Hybrid,토요타,휘발유,2487 ,무단변속,16.6,1등급,96
렉서스 ES300h,토요타,휘발유,2487 ,무단변속,17,1등급,93
"스토닉 1.6디젤 7DCT 19MY (17"" 타이어) (15)",기아,경유,1582 ,자동7,16.7,1등급,111
"스포티지 1.6디젤 2WD (PE/17""타이어)",기아,경유,1598 ,자동7,16.3,1등급,114
"스토닉 1.6디젤 7DCT 19MY (15"" 타이어) (15)",기아,경유,1582 ,자동7,17,1등급,109
"투싼 개조차 1.6디젤 2WD (17""타이어)",현대,경유,1598 ,자동7,16.3,1등급,115
ACCORD HYBRID,혼다,휘발유,1993 ,무단변속,18.9,1등급,82
ACCORD HYBRID,혼다,휘발유,1993 ,무단변속,18.9,1등급,82
MINI Cooper SD,MINI,경유,1995 ,자동8,16.1,1등급,116
MINI Cooper D Five Door,MINI,경유,1496 ,자동7,16.5,1등급,113
MINI Cooper D,MINI,경유,1496 ,자동7,16.9,1등급,109
