"모델명","제조사","유종","배기량","변속형식","복합연비","등급","CO2배출량"
"K5(DL3) 1.6T-GDI_17인치(빌트인캠)_21MY","기아","휘발유","1598","자동8","13.5","3등급","123"
"K5(DL3) 1.6T-GDI_17인치타이어_21MY","기아","휘발유","1598","자동8","13.6","3등급","122"
"GV70 2.5T-GDI AWD 21인치","현대","휘발유","2497","자동8","9.2","5등급","186"
"GV70 2.5T-GDI AWD 19인치","현대","휘발유","2497","자동8","9.7","4등급","176"
"GV70 2.5T-GDI 2WD 21인치","현대","휘발유","2497","자동8","9.8","4등급","173"
"GV70 2.5T-GDI 2WD 19인치","현대","휘발유","2497","자동8","10","4등급","170"
"짚 글래디에이터","크라이슬러","휘발유","3604","자동8","6.5","5등급","269"
"GV70 3.5T-GDI AWD 21인치","현대","휘발유","3470","자동8","8.3","5등급","207"
"GV70 2.2디젤 AWD 21인치 (스포츠패키지)","현대","경유","2151","자동8","12","3등급","161"
"GV70 2.2디젤 AWD 19인치 (스포츠패키지)","현대","경유","2151","자동8","12.4","3등급","155"
"GV70 2.2디젤 AWD 18인치(빌트인캠)","현대","경유","2151","자동8","12.8","3등급","150"
"GV70 2.2디젤 AWD 18인치","현대","경유","2151","자동8","12.9","3등급","149"
"GV70 2.2디젤 2WD 21인치 (스포츠패키지)","현대","경유","2151","자동8","12.6","3등급","152"
"GV70 2.2디젤 2WD 19인치 (스포츠패키지)","현대","경유","2151","자동8","13.2","3등급","145"
"A6 45 TFSI quattro","아우디","휘발유","1984","자동7","10.8","4등급","159"
"GV70 2.2디젤 2WD 18인치 (빌트인캠)","현대","경유","2151","자동8","13.5","3등급","141"
"GV70 2.2디젤 2WD 18인치","현대","경유","2151","자동8","13.6","3등급","140"
"GV70 2.5T-GDI AWD 21인치 (스포츠패키지)","현대","휘발유","2497","자동8","9.2","5등급","186"
"GV70 2.5T-GDI AWD 19인치 (스포츠패키지)","현대","휘발유","2497","자동8","9.7","4등급","176"
"GV70 2.5T-GDI AWD 18인치(빌트인캠)","현대","휘발유","2497","자동8","9.7","4등급","176"
"GV70 2.5T-GDI AWD 18인치","현대","휘발유","2497","자동8","9.8","4등급","174"
"GV70 2.5T-GDI 2WD 21인치 (스포츠패키지)","현대","휘발유","2497","자동8","9.8","4등급","173"
"GV70 2.5T-GDI 2WD 19인치 (스포츠패키지)","현대","휘발유","2497","자동8","10","4등급","170"
"GV70 2.5T-GDI 2WD 18인치(빌트인캠)","현대","휘발유","2497","자동8","10.6","4등급","160"
"GV70 2.5T-GDI 2WD 18인치","현대","휘발유","2497","자동8","10.7","4등급","158"
