모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급
Mercedes-Benz S580 e 4MATIC,벤츠,승용차,일반형,PHEV,전기+휘발유,2999,자동9,31,2.7 / 9.8,PHEV
BMW 740d xDrive,BMW,승용차,일반형,하이브리드,경유,2993,자동8,153,12.5,3등급
Mercedes-Benz GLS580 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,262,6.6,5등급
Mercedes-Benz GLS580 4MATIC(6 Seater),벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,262,6.6,5등급
Mercedes-Maybach GLS600 4MATIC(5 Seater),벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,290,6.1,5등급
Mercedes-Maybach GLS600 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,290,6.1,5등급
Mercedes-AMG GLE63 S 4MATIC + Coupe,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,255,6.8,5등급
BMW iX xDrive50,BMW,승용차,다목적형,전기(MCT),전기,0,없음,0,3.7,고속
A7 55 TFSI e quattro,아우디,승용차,일반형,PHEV,전기+휘발유,1984,자동7,45.639,3 / 11.3,PHEV
DS7 1.2 PureTech,PSA Automobiles,승용차,다목적형,내연기관,휘발유,1199,자동8,137,12,3등급
Q8 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,209,8.2,5등급
Q7 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,211,8.1,5등급
그랜저(GN7) 2.5 GDI 20인치,현대,승용차,일반형,내연기관,휘발유,2497,자동8,150,11.2,4등급
그랜저(GN7) 2.5 GDI 19인치,현대,승용차,일반형,내연기관,휘발유,2497,자동8,148,11.4,4등급
그랜저(GN7) 2.5 GDI 18인치,현대,승용차,일반형,내연기관,휘발유,2497,자동8,143,11.7,3등급
그랜저(GN7) 3.5 GDI AWD 20인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,190,9,5등급
그랜저(GN7) 3.5 GDI AWD 19인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,186,9.2,5등급
그랜저(GN7) 3.5 GDI AWD 18인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,179,9.5,4등급
그랜저(GN7) 3.5 GDI 2WD 20인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,176,9.7,4등급
그랜저(GN7) 3.5 GDI 2WD 19인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,168,10.1,4등급
그랜저(GN7) 3.5 GDI 2WD 18인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,163,10.4,4등급
그랜저(GN7) 3.5 LPI 20인치,현대,승용차,일반형,내연기관,LPG,3470,자동8,183,7.3,5등급
그랜저(GN7) 3.5 LPI 19인치,현대,승용차,일반형,내연기관,LPG,3470,자동8,180,7.4,5등급
그랜저(GN7) 3.5 LPI 18인치,현대,승용차,일반형,내연기관,LPG,3470,자동8,170,7.8,5등급
Huracan Tecnica,람보르기니,승용차,일반형,내연기관,휘발유,5204,자동7,286,6.2,5등급
Mercedes-Maybach S680 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,5980,자동9,306,5.8,5등급
Mercedes-Maybach S680 4MATIC(5 Seats),벤츠,승용차,일반형,내연기관,휘발유,5980,자동9,306,5.8,5등급
짚 그랜드 체로키,크라이슬러,승용차,다목적형,내연기관,휘발유,3604,자동8,228,7.4,5등급
짚 그랜드 체로키,크라이슬러,승용차,다목적형,내연기관,휘발유,3604,자동8,228,7.4,5등급
Mercedes-Benz GLE450 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,2999,자동9,200,8.6,5등급
Mercedes-AMG GLE53 4MATIC +,벤츠,승용차,다목적형,하이브리드,휘발유,2999,자동9,218,7.9,5등급
Mercedes-Benz GLE450 4MATIC(5Seats),벤츠,승용차,다목적형,하이브리드,휘발유,2999,자동9,200,8.6,5등급
Mercedes-AMG GLE53 4MATIC +(5seats),벤츠,승용차,다목적형,하이브리드,휘발유,2999,자동9,218,7.9,5등급
Mercedes-AMG GLE53 4MATIC + Coupe,벤츠,승용차,다목적형,하이브리드,휘발유,2999,자동9,212,8.1,5등급
CHEVROLET EQUINOX FWD (MY23),GM,승용차,다목적형,내연기관,휘발유,1490,자동6,147,11.4,4등급
CHEVROLET EQUINOX AWD (MY23),GM,승용차,다목적형,내연기관,휘발유,1490,자동6,154,11,4등급
마세라티 MC20 Cielo,마세라티,승용차,일반형,내연기관,휘발유,2992,자동8,253,7.1,5등급
T4K,BYD,화물차,일반형,전기(MCT),전기,0,없음,0,2.6,고속
GMC Sierra ,한국지엠,화물차,일반형,내연기관,휘발유,6162,자동10,254,6.9,5등급
Peugeot 408 1.2 PureTech,PSA Automobiles,승용차,일반형,내연기관,휘발유,1199,자동8,129,12.9,3등급
디펜더 130 D300,랜드로버,승용차,다목적형,하이브리드,경유,2997,자동8,197,9.9,4등급
Mercedes-Benz EQS450 +,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,3.8,고속
URUS S,람보르기니,승용차,다목적형,내연기관,휘발유,3996,자동8,273,6.4,5등급
URUS Performante,람보르기니,승용차,다목적형,내연기관,휘발유,3996,자동8,272,6.5,5등급
URUS Performante,람보르기니,승용차,다목적형,내연기관,휘발유,3996,자동8,272,6.5,5등급
Mercedes-Benz EQS580 4MATIC SUV(5seats),벤츠,승용차,다목적형,전기(MCT),전기,0,없음,0,3.5,고속
Mercedes-Benz EQS450 4MATIC SUV(5seats),벤츠,승용차,다목적형,전기(MCT),전기,0,없음,0,3.6,고속
Mercedes-Benz EQS450 4MATIC SUV,벤츠,승용차,다목적형,전기(MCT),전기,0,없음,0,3.6,고속
Mercedes-Benz EQS580 4MATIC SUV,벤츠,승용차,다목적형,전기(MCT),전기,0,없음,0,3.5,고속
Mercedes-AMG EQE53 4MATIC +,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,3.3,고속
Mercedes-AMG EQS53 4MATIC +,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,3.1,고속
Mercedes-AMG EQS53 4MATIC +,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,3.2,고속
Mercedes-AMG A45 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,195,8.8,5등급
마세라티 그레칼레 모데나,마세라티,승용차,다목적형,하이브리드,휘발유,1995,자동8,178,9.8,4등급
마세라티 그레칼레 GT,마세라티,승용차,다목적형,하이브리드,휘발유,1995,자동8,176,9.9,4등급
Mercedes-AMG E53 4MATIC + Coupe,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,186,9.2,5등급
Mercedes-AMG E53 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,187,9.1,5등급
Mercedes-AMG GT43 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,211,8.2,5등급
Mercedes-AMG CLS53 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,189,9.1,5등급
911 타르가 4 GTS,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,229,7.7,5등급
911 터보 S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,3745,자동8,264,6.7,5등급
Mercedes-AMG GT63 S 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,3982,자동9,260,6.7,5등급
Peugeot 2008 1.5 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1499,자동8,109,17.1,1등급
더 뉴 레인지로버 스포츠 P360,랜드로버,승용차,다목적형,하이브리드,휘발유,2996,자동8,217,8,5등급
Mercedes-AMG CLA45 S 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,188,9.1,5등급
