가해자연령층,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
20세이하,01,285,4,79,273,34
20세이하,02,315,4,95,301,48
20세이하,03,415,2,115,411,54
20세이하,04,484,8,137,464,75
20세이하,05,579,5,157,520,100
20세이하,06,580,8,157,460,113
20세이하,07,534,5,163,445,79
20세이하,08,552,1,167,482,96
20세이하,09,547,9,155,466,114
20세이하,10,557,8,162,472,89
20세이하,11,403,3,118,392,56
20세이하,12,340,3,82,326,66
21-30세,01,1904,23,456,2166,185
21-30세,02,1716,21,436,1940,183
21-30세,03,2078,24,510,2392,174
21-30세,04,2128,22,588,2398,223
21-30세,05,2175,14,574,2486,199
21-30세,06,2133,26,577,2335,259
21-30세,07,2097,23,510,2319,227
21-30세,08,2216,38,600,2540,227
21-30세,09,2254,19,609,2481,271
21-30세,10,2056,30,562,2295,192
21-30세,11,2129,28,539,2360,198
21-30세,12,2089,28,529,2343,242
31-40세,01,2225,18,567,2467,182
31-40세,02,1807,17,486,2040,140
31-40세,03,2168,18,509,2474,205
31-40세,04,2243,18,556,2547,208
31-40세,05,2386,16,604,2660,259
31-40세,06,2264,15,642,2434,212
31-40세,07,2377,22,618,2598,220
31-40세,08,2351,27,567,2591,276
31-40세,09,2414,24,651,2655,260
31-40세,10,2356,29,671,2525,223
31-40세,11,2529,32,653,2751,245
31-40세,12,2549,24,576,2824,254
41-50세,01,2545,31,704,2795,235
41-50세,02,2268,25,586,2485,217
41-50세,03,2777,27,712,2896,246
41-50세,04,2742,25,705,2938,269
41-50세,05,2960,27,838,3248,310
41-50세,06,2759,27,753,2988,272
41-50세,07,2793,32,726,3000,290
41-50세,08,2964,32,783,3296,276
41-50세,09,2931,35,744,3142,287
41-50세,10,2823,32,799,2898,248
41-50세,11,2844,37,790,3032,252
41-50세,12,3022,27,781,3195,283
51-60세,01,3326,46,860,3558,283
51-60세,02,3020,41,835,3196,260
51-60세,03,3637,46,914,3859,253
51-60세,04,3637,41,993,3910,322
51-60세,05,3919,53,1044,4256,341
51-60세,06,3717,45,982,3954,321
51-60세,07,3647,43,931,4007,335
51-60세,08,3732,50,1003,3941,355
51-60세,09,4022,55,1159,4233,374
51-60세,10,3796,63,1089,3937,352
51-60세,11,4057,60,1125,4239,360
51-60세,12,3812,42,1040,4102,317
61-64세,01,1482,19,417,1569,108
61-64세,02,1366,22,383,1416,115
61-64세,03,1584,16,402,1686,120
61-64세,04,1672,19,471,1823,135
61-64세,05,1760,21,469,1906,155
61-64세,06,1681,13,425,1824,149
61-64세,07,1678,19,453,1798,151
61-64세,08,1686,22,483,1814,148
61-64세,09,1742,30,465,1902,150
61-64세,10,1792,27,536,1896,147
61-64세,11,1812,24,506,1981,172
61-64세,12,1791,16,482,1923,145
65세이상,01,2525,49,651,2817,217
65세이상,02,2582,51,733,2719,186
65세이상,03,3110,54,867,3183,218
65세이상,04,3220,49,928,3294,314
65세이상,05,3524,67,994,3606,343
65세이상,06,3379,68,928,3553,320
65세이상,07,3252,61,885,3413,320
65세이상,08,3521,76,994,3729,324
65세이상,09,3714,67,1031,3922,324
65세이상,10,3715,76,1155,3807,337
65세이상,11,3733,73,1090,3830,343
65세이상,12,3339,54,888,3534,270
불명,01,188,0,14,144,45
불명,02,210,0,14,166,61
불명,03,231,0,20,161,77
불명,04,210,0,28,163,60
불명,05,249,0,28,169,74
불명,06,203,0,18,142,59
불명,07,200,0,23,137,65
불명,08,190,0,25,146,50
불명,09,236,0,26,154,76
불명,10,238,0,26,162,73
불명,11,241,0,28,163,75
불명,12,255,0,30,179,69
