모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
D2P,(주)스마트솔루션즈,화물차,화물,5.2,101,5.5,4.9,초소형
마이브 M1,주식회사 마이브,승용차,기타형,5.5,57,6,5,초소형
포트로(HMT-101),(주)디피코,화물차,기타형,3.8,47,4.7,3.1,초소형
CEVO-C SE,주식회사 쎄보모빌리티,승용차,일반형,6.3,69,6.7,5.8,초소형
포트로 탑(HMT-250T),(주)디피코,화물차,기타형,4.2,69,5.1,3.4,초소형
포트로 픽업(HMT-250P),(주)디피코,화물차,기타형,4.2,69,5.1,3.4,초소형
D2C(D2C13),(주)스마트솔루션즈,화물차,화물,5.4,79,6,4.8,초소형
포텐스,(주)진우에스엠씨,화물차,일반형,4.5,57,5.4,3.8,초소형
CEVO-C SE 1인승 밴형,주식회사 쎄보모빌리티,승용차,일반형,6.3,69,6.7,5.8,초소형
MASADA QQ 2밴,주식회사 이브이케이엠씨,화물차,밴형,6.3,100,6.4,6.1,초소형
베프(VEV),주식회사 마이브,화물차,일반형,6,67,5.9,6.2,초소형
모닝(JA PE)_1.0가솔린_14인치타이어,기아 주식회사,승용차,일반형,15.7,,14.4,17.6,경형
모닝(JA PE)_1.0가솔린_14인치타이어_밴형,기아 주식회사,승용차,일반형,15.7,,14.4,17.6,경형
모닝(JA PE)_1.0가솔린_16인치타이어,기아 주식회사,승용차,일반형,14.7,,13.5,16.3,경형
캐스퍼 1.0T-GDI 4AT 15인치,현대자동차㈜,승용차,일반형,12.8,,11.3,15.2,경형
캐스퍼 1.0T-GDI 4AT 17인치,현대자동차㈜,승용차,일반형,12.3,,11,14.2,경형
캐스퍼 1.0 가솔린 15인치타이어,현대자동차㈜,승용차,일반형,14.3,,13.4,15.5,경형
캐스퍼 1.0 가솔린 17인치타이어,현대자동차㈜,승용차,일반형,13.8,,13,14.8,경형
캐스퍼 1.0 가솔린 15인치타이어_밴형,현대자동차㈜,승용차,일반형,14.3,,13.4,15.5,경형
캐스퍼 1.0T-GDI 4AT 15인치_밴형,현대자동차㈜,승용차,일반형,12.8,,11.3,15.2,경형
레이 1.0 가솔린 1인승 밴형 14인치 타이어,기아 주식회사,승용차,승용겸화물형,13,,12.2,14,경형
모닝(JA PE2)_1.0가솔린_14인치타이어,기아 주식회사,승용차,일반형,15.1,,13.8,16.9,경형
모닝(JA PE2)_1.0가솔린_16인치타이어,기아 주식회사,승용차,일반형,14.7,,13.5,16.3,경형
모닝(JA PE2)_1.0가솔린_14인치타이어_밴형,기아 주식회사,승용차,승용겸화물형,15.1,,13.8,16.9,경형
"모닝 25MY 1.0가솔린 14"" 밴",기아 주식회사,승용차,승용겸화물형,14.7,,13.5,16.3,경형
"모닝 25MY 1.0가솔린 14""",기아 주식회사,승용차,일반형,14.7,,13.5,16.3,경형
"모닝 25MY 1.0가솔린 16""",기아 주식회사,승용차,일반형,14.7,,13.5,16.3,경형
캐스퍼(AX1 PE) 밴 1.0가솔린 15인치,현대자동차㈜,승용차,승용겸화물형,14.3,,13.4,15.5,경형
캐스퍼(AX1 PE) 1.0가솔린 15인치,현대자동차㈜,승용차,일반형,14.3,,13.4,15.5,경형
캐스퍼(AX1 PE) 1.0가솔린 17인치,현대자동차㈜,승용차,일반형,13.8,,13,14.8,경형
캐스퍼(AX1 PE) 밴 1.0T-GDI 15인치,현대자동차㈜,승용차,승용겸화물형,12.8,,11.3,15.2,경형
캐스퍼(AX1 PE) 1.0T-GDI 15인치,현대자동차㈜,승용차,일반형,12.8,,11.3,15.2,경형
캐스퍼(AX1 PE) 1.0T-GDI 17인치,현대자동차㈜,승용차,일반형,12.3,,11,14.2,경형
레이(TAM PE2) 1.0MPI 5인 14인치 25MY,기아 주식회사,승용차,일반형,12.9,,12.2,13.8,경형
레이(TAM PE2)1.0MPI 15인치 25MY,기아 주식회사,승용차,일반형,12.6,,11.9,13.5,경형
레이(TAM PE2) 1.0MPI 1인 14인치 밴 25MY,기아 주식회사,승용차,승용겸화물형,12.9,,12.2,13.8,경형
레이(TAM PE2) 1.0MPI 2인 14인치 밴 25MY,기아 주식회사,승용차,승용겸화물형,12.9,,12.2,13.8,경형
BMW 550e xDrive,BMW코리아㈜,승용차,일반형,14.3,88,13.5,15.4,PHEV
Revuelto,폭스바겐그룹코리아 주식회사,승용차,일반형,7.7,11,6.4,10.3,PHEV
Mercedes-AMG E 53 Hybrid 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,12,94,10.9,13.7,PHEV
레인지로버 벨라 P400e,(주)재규어랜드로버코리아,승용차,다목적형,12.7,64,12,13.6,PHEV
Mercedes-AMG S 63 E PERFORMANCE,메르세데스-벤츠코리아(주),승용차,일반형,11.4,40,10.3,13.2,PHEV
파나메라 터보 S E-하이브리드,포르쉐코리아 주식회사,승용차,일반형,11.2,86,10.4,12.5,PHEV
파나메라 터보 S E-하이브리드 (5인승),포르쉐코리아 주식회사,승용차,일반형,11.2,86,10.4,12.5,PHEV
BMW 530e,BMW코리아㈜,승용차,일반형,15.9,102,15.4,16.4,PHEV
Mercedes-Benz E 350 e 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,15.6,111,14.2,17.7,PHEV
BMW 530e xDrive,BMW코리아㈜,승용차,일반형,14.9,95,14.4,15.6,PHEV
카이엔 터보 E-하이브리드,포르쉐코리아 주식회사,승용차,다목적형,11.2,80,10.6,11.9,PHEV
카이엔 터보 E-하이브리드 Coupe,포르쉐코리아 주식회사,승용차,다목적형,11.2,80,10.6,11.9,PHEV
파나메라 터보 E-하이브리드,포르쉐코리아 주식회사,승용차,일반형,11,82,10.1,12.5,PHEV
카이엔 터보 E-하이브리드 Coupe (5인승),포르쉐코리아 주식회사,승용차,다목적형,11.2,80,10.6,11.9,PHEV
