no,title,link
0," ""아메리카노 500원에 드세유""···위기의 백종원 '파격 할인' 승부수 던졌다 ",http://v.daum.net/v/20250527142228677
1," 논란의 백종원, 300억 푼다더니 빽다방 아메리카노 500원에 ",http://v.daum.net/v/20250528072433467
2," ""우리 죽이려는 거냐""… 백종원 '500원 아메리카노'에 비난도 거세 ",http://v.daum.net/v/20250528074517755
3," 편의점 GS25, 6월부터 아이스아메리카노 가격 300원 내린다 ",http://v.daum.net/v/20250528080433091
4," 백종원, 급하긴 급했나…“빽다방 아메리카노 500원에 판매” ",http://v.daum.net/v/20250527104017111
5," ""백종원 혼자만 살겠다는 거냐""···'500원' 아메리카노에 주변 상인 '부글부글' ",http://v.daum.net/v/20250528143814140
6," “아메리카노 500원”… 빽다방, 내달 12일까지 릴레이 할인 진행 ",http://v.daum.net/v/20250527093035828
7, 빽다방 너마저… ‘1500원짜리’ 뜨거운 아메리카노 실종 ,http://v.daum.net/v/20250520192313455
8, “다 같이 죽자는 거냐?”…‘500원 아메리카노’ 꺼낸 백종원에 싸늘한 반응 ,http://v.daum.net/v/20250528110727847
9," 빽다방 ""아메리카노 500원"" 파격행사…비용은 본사 부담 ",http://v.daum.net/v/20250527115751260
10," ""지들은 살 테니 우리보고 죽으라는 거냐""..500원 아메리카노 꺼낸 백종원에 주변 상인들 '분노' ",http://v.daum.net/v/20250528052004933
11," ""캔커피보다 싸쥬?"" 아메리카노 500원, '빽다방' 통 큰 할인 시작 ",http://v.daum.net/v/20250527152822913
12," 뚜레쥬르, 아메리카노 100원 올려…CJ푸드빌, 커피 가격 인상 ",http://v.daum.net/v/20250523182816789
13," 백종원, 할인 행사에 빠진 빽다방 ""가격 올린다""…아메리카노 등 일부 제품 ",http://v.daum.net/v/20250515070728594
14, CU '990원 커피' 사라진다…원두변경 후 '아메리카노 1000원'으로 인상 ,http://v.daum.net/v/20250521145923564
15, 이렇게 마시면 큰일! 살도 안 찌고 몸에도 좋다더니… 믿었던 ‘아메리카노의 배신’ ,http://v.daum.net/v/20250511143041459
16," 네스카페 돌체구스토, ‘돌체구스토 아메리카노’ 리브랜딩 캠페인 실시 ",http://v.daum.net/v/20250509132015678
17, 아메리카노 가격 올린 '빽다방'…잇단 논란에 소비자들 뿔났다 ,http://v.daum.net/v/20250523080637665
18," 이준석, 이재명 'HMM 이전' 발언에 ""따뜻한 아이스 아메리카노 팔기 시작해"" ",http://v.daum.net/v/20250514162258899
19," 스타벅스, 그린 등급도 아메리카노 쿠폰 받는다 ",http://v.daum.net/v/20250508085515393
20," 이준석 ""이재명, 따뜻한 아이스 아메리카노 팔기 시작해""…부산에 '해안가 야구장' 공약 ",http://v.daum.net/v/20250514201254436
21, 초여름 더위에 양산·아이스 아메리카노 든 시민들 [뉴시스Pic] ,http://v.daum.net/v/20250526150052777
22, 990원 아메리카노·800원 아이스크림···초저가 늘리는 CU ,http://v.daum.net/v/20250508111816686
23," ""저가커피 줄인상"" 우지커피, 아메리카노 300원 올린다…1800원으로 ",http://v.daum.net/v/20250507083429012
24, 9.9위안 아메리카노 팔고 순항하는 '중국판 스타벅스' ,http://v.daum.net/v/20250430111824560
25, “커피값 부담이었는데 1000원대 아이스 아메리카노”…커피쿠폰 파격할인 11번가 ‘그랜드십일절’ ,http://v.daum.net/v/20250509113900246
26, [속보] '빽다방' 22일부터 커피값 오른다…아메리카노·카페라떼 200원 인상 ,http://v.daum.net/v/20250515083757348
27," 빙그레, 대용량 '아카페라 디카페인 아메리카노' 출시 ",http://v.daum.net/v/20250421110715742
