no,tilte,link,thumbnail,sizeheight,sizewidth
1,BINIWU 심플 빈티지 워싱 청바지 남자 봄가을 루즈핏 통바지 28 빈티지블루,http://shopping.phinf.naver.net/main_5172227/51722270863.20241203000649.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5172227/51722270863.20241203000649.jpg,800,800
2,중년 청바지 아이스 팬츠 남성 얇은 슬랙스 바지남 긴바지,http://shopping.phinf.naver.net/main_5314890/53148906191.3.20250222123601.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5314890/53148906191.3.20250222123601.jpg,1000,1000
3,게스 게스 여성 청바지 플레어 붓컷 미디엄블루 데님팬츠 M YM3D0117,http://shopping.phinf.naver.net/main_5182791/51827910278.20241217021352.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5182791/51827910278.20241217021352.jpg,700,700
4,가우리 봄 가을 프리미엄 중년 남성 청바지 CRO 스판 청 팬츠 - 청바지 | 쿠팡,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/images/2017/09/07/17/1/837feb8c-041e-4921-bd39-174fec765a2a.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/images/2017/09/07/17/1/837feb8c-041e-4921-bd39-174fec765a2a.jpg,492,492
5,청바지 남자 여름 얇은 레져 텐셀 아메리칸 빈티지 청바지 남자 카우형 남자 스타일 팬츠,http://shopping.phinf.naver.net/main_5188539/51885397922.20241212005117.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5188539/51885397922.20241212005117.jpg,600,600
6,여름 찢어진청바지 와이드 데님 팬츠 빈티지 헤짐 찢청 : 비비드 앤 글로우,http://shop1.phinf.naver.net/20250503_295/1746250611381Vinxl_JPEG/21192829047529977_2039968073.jpeg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250503_295/1746250611381Vinxl_JPEG/21192829047529977_2039968073.jpeg,3925,2943
7,여성 부츠컷청바지 나팔바지 스판데님 봄신상 CY-3501,http://shopping.phinf.naver.net/main_5300352/53003523379.20250425093354.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5300352/53003523379.20250425093354.jpg,760,760
8,봄/여름 얇은 데님 스트레이트 코튼 청바지 남성 비즈니스 캐주얼 천 하이 웨이스트 아이스 실크 경량 : 선데이마켓23,http://shop1.phinf.naver.net/20250330_273/174331899451378VW6_JPEG/77451851634927808_1386617522.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250330_273/174331899451378VW6_JPEG/77451851634927808_1386617522.jpg,600,600
9,LUMORA 봄 와이드 팬츠 여자 청바지 캐주얼 스타일 팬츠 E 27 A014S,http://shopping.phinf.naver.net/main_5445476/54454764391.20250427205653.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5445476/54454764391.20250427205653.jpg,800,800
10,매력적인 럭셔리한 품격있는 여성용 스트레치 청바지,http://shopping.phinf.naver.net/main_5234433/52344339451.20250107232815.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5234433/52344339451.20250107232815.jpg,600,600
