지역명,연도,월,평당분양가격,전용면적
서울,2015,10,19275.3,모든면적
서울,2015,10,18651.6,60㎡
서울,2015,10,19410.6,60㎡~85㎡
서울,2015,10,18879.3,85㎡~102㎡
서울,2015,10,19400.7,102㎡~
인천,2015,10,10437.9,모든면적
인천,2015,10,11510.4,60㎡
인천,2015,10,10292.699999999999,60㎡~85㎡
인천,2015,10,11698.5,85㎡~102㎡
인천,2015,10,11246.4,102㎡~
경기,2015,10,10355.4,모든면적
경기,2015,10,10315.8,60㎡
경기,2015,10,10688.699999999999,60㎡~85㎡
경기,2015,10,11536.8,85㎡~102㎡
경기,2015,10,12144.0,102㎡~
부산,2015,10,10269.599999999999,모든면적
부산,2015,10,9735.0,60㎡
부산,2015,10,9896.699999999999,60㎡~85㎡
부산,2015,10,9758.1,85㎡~102㎡
부산,2015,10,11550.0,102㎡~
대구,2015,10,8850.6,모든면적
대구,2015,10,8626.199999999999,60㎡
대구,2015,10,8896.8,60㎡~85㎡
대구,2015,10,8438.1,85㎡~102㎡
대구,2015,10,8573.4,102㎡~
광주,2015,10,7986.0,모든면적
광주,2015,10,7434.9,60㎡
광주,2015,10,8048.7,60㎡~85㎡
광주,2015,10,,85㎡~102㎡
광주,2015,10,,102㎡~
대전,2015,10,8098.2,모든면적
대전,2015,10,8530.5,60㎡
대전,2015,10,8012.4,60㎡~85㎡
대전,2015,10,8121.299999999999,85㎡~102㎡
대전,2015,10,,102㎡~
울산,2015,10,10074.9,모든면적
울산,2015,10,7992.599999999999,60㎡
울산,2015,10,10032.0,60㎡~85㎡
울산,2015,10,9738.3,85㎡~102㎡
울산,2015,10,8877.0,102㎡~
세종,2015,10,8718.6,모든면적
세종,2015,10,8487.6,60㎡
세종,2015,10,8768.1,60㎡~85㎡
세종,2015,10,8725.199999999999,85㎡~102㎡
세종,2015,10,8883.6,102㎡~
강원,2015,10,7151.099999999999,모든면적
강원,2015,10,7543.799999999999,60㎡
강원,2015,10,7299.599999999999,60㎡~85㎡
강원,2015,10,6801.299999999999,85㎡~102㎡
강원,2015,10,7164.299999999999,102㎡~
충북,2015,10,6705.599999999999,모든면적
충북,2015,10,6332.7,60㎡
충북,2015,10,6708.9,60㎡~85㎡
충북,2015,10,6936.599999999999,85㎡~102㎡
충북,2015,10,7817.7,102㎡~
충남,2015,10,6926.7,모든면적
충남,2015,10,7279.799999999999,60㎡
충남,2015,10,6933.299999999999,60㎡~85㎡
충남,2015,10,9051.9,85㎡~102㎡
충남,2015,10,8058.599999999999,102㎡~
전북,2015,10,6778.2,모든면적
전북,2015,10,7019.099999999999,60㎡
전북,2015,10,6784.799999999999,60㎡~85㎡
전북,2015,10,7844.099999999999,85㎡~102㎡
전북,2015,10,7425.0,102㎡~
전남,2015,10,6352.5,모든면적
전남,2015,10,6596.7,60㎡
전남,2015,10,6342.599999999999,60㎡~85㎡
전남,2015,10,7464.599999999999,85㎡~102㎡
전남,2015,10,7563.599999999999,102㎡~
경북,2015,10,7088.4,모든면적
경북,2015,10,7273.2,60㎡
경북,2015,10,7078.5,60㎡~85㎡
경북,2015,10,7616.4,85㎡~102㎡
경북,2015,10,7332.599999999999,102㎡~
경남,2015,10,7560.299999999999,모든면적
경남,2015,10,7388.7,60㎡
경남,2015,10,7606.5,60㎡~85㎡
경남,2015,10,9537.0,85㎡~102㎡
경남,2015,10,9946.199999999999,102㎡~
제주,2015,10,7365.599999999999,모든면적
제주,2015,10,,60㎡
제주,2015,10,7342.5,60㎡~85㎡
제주,2015,10,8523.9,85㎡~102㎡
제주,2015,10,8494.199999999999,102㎡~
서울,2015,11,19965.0,모든면적
서울,2015,11,20856.0,60㎡
서울,2015,11,19681.2,60㎡~85㎡
서울,2015,11,23403.6,85㎡~102㎡
서울,2015,11,21618.3,102㎡~
인천,2015,11,10507.199999999999,모든면적
인천,2015,11,10982.4,60㎡
인천,2015,11,10292.699999999999,60㎡~85㎡
인천,2015,11,11698.5,85㎡~102㎡
인천,2015,11,11246.4,102㎡~
경기,2015,11,10223.4,모든면적
경기,2015,11,10160.699999999999,60㎡
경기,2015,11,10566.599999999999,60㎡~85㎡
경기,2015,11,11190.3,85㎡~102㎡
경기,2015,11,12289.199999999999,102㎡~
부산,2015,11,10332.3,모든면적
부산,2015,11,9840.6,60㎡
부산,2015,11,10022.1,60㎡~85㎡
부산,2015,11,9758.1,85㎡~102㎡
부산,2015,11,12338.699999999999,102㎡~
대구,2015,11,9071.699999999999,모든면적
대구,2015,11,8259.9,60㎡
대구,2015,11,9259.8,60㎡~85㎡
대구,2015,11,8438.1,85㎡~102㎡
대구,2015,11,9051.9,102㎡~
광주,2015,11,7999.2,모든면적
광주,2015,11,7428.299999999999,60㎡
광주,2015,11,8065.2,60㎡~85㎡
광주,2015,11,,85㎡~102㎡
광주,2015,11,,102㎡~
대전,2015,11,8098.2,모든면적
대전,2015,11,8530.5,60㎡
대전,2015,11,8012.4,60㎡~85㎡
대전,2015,11,8121.299999999999,85㎡~102㎡
대전,2015,11,,102㎡~
울산,2015,11,10041.9,모든면적
울산,2015,11,8527.199999999999,60㎡
울산,2015,11,10058.4,60㎡~85㎡
울산,2015,11,8787.9,85㎡~102㎡
울산,2015,11,9484.199999999999,102㎡~
세종,2015,11,8738.4,모든면적
세종,2015,11,8487.6,60㎡
세종,2015,11,8797.8,60㎡~85㎡
세종,2015,11,8725.199999999999,85㎡~102㎡
세종,2015,11,9071.699999999999,102㎡~
강원,2015,11,7164.299999999999,모든면적
강원,2015,11,7563.599999999999,60㎡
강원,2015,11,7236.9,60㎡~85㎡
강원,2015,11,6801.299999999999,85㎡~102㎡
강원,2015,11,7164.299999999999,102㎡~
충북,2015,11,6613.2,모든면적
충북,2015,11,6339.299999999999,60㎡
충북,2015,11,6649.5,60㎡~85㎡
충북,2015,11,6164.4,85㎡~102㎡
충북,2015,11,7514.099999999999,102㎡~
충남,2015,11,6930.0,모든면적
충남,2015,11,7306.2,60㎡
