# https://rt.molit.go.kr/pt/xls/xls.do 국토교통부 실거래가 공개시스템
거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층,해제사유발생일,해제여부
80000,2002,2021, 신교동,신현(101동),8,16,84.82,6-13,11110,1,-,-
209000,2008,2021, 사직동,광화문풍림스페이스본(106동),8,5,163.33,9-1,11110,13,-,-
160000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),8,10,158.99,9,11110,4,-,-
96000,2008,2021, 견지동,대성스카이렉스,8,4,116.03,110,11110,5,-,-
32000,2003,2021, 익선동,현대뜨레비앙,8,14,48.54,55,11110,7,-,-
19700,2014,2021, 연건동,이화에수풀,8,2,16.98,195-10,11110,4,-,-
20000,2014,2021, 연건동,이화에수풀,8,29,16.98,195-10,11110,12,-,-
120000,1995,2021, 명륜2가,아남1,8,2,84.9,4,11110,7,-,-
84500,2006,2021, 창신동,브라운스톤창신,8,10,84.67,23-76,11110,12,-,-
67700,1993,2021, 창신동,창신쌍용2,8,12,54.7,703,11110,3,-,-
127500,2004,2021, 숭인동,롯데캐슬천지인,8,3,111.73,76,11110,17,-,-
11600,2012,2021, 숭인동,삼전솔하임2차,8,6,15.0,296-19,11110,7,-,-
13000,2013,2021, 숭인동,종로중흥S클래스,8,6,17.811,202-3,11110,5,-,-
12500,2013,2021, 숭인동,종로중흥S클래스,8,7,17.811,202-3,11110,6,-,-
12650,2013,2021, 숭인동,종로중흥S클래스,8,16,17.811,202-3,11110,7,-,-
197000,2017,2021, 평동,경희궁자이(3단지),8,2,84.614,233,11110,5,-,-
199500,2017,2021, 평동,경희궁자이(3단지),8,5,84.836,233,11110,14,-,-
205000,2017,2021, 평동,경희궁자이(3단지),8,20,84.836,233,11110,8,-,-
20000,1971,2021, 행촌동,대성아파트,8,13,30.28,41-1,11110,6,-,-
33000,1997,2021, 평창동,갑을,8,24,64.88,595,11110,11,-,-
49000,2002,2021, 부암동,프라임캐슬(케이빌라트),8,6,88.89,265-10,11110,1,-,-
169500,2008,2021, 무악동,인왕산아이파크,8,6,114.931,60,11110,16,-,-
126500,2008,2021, 무악동,인왕산아이파크,8,14,84.858,60,11110,3,-,-
137900,2000,2021, 무악동,현대,8,28,84.92,82,11110,6,-,-
167000,2008,2021, 사직동,광화문풍림스페이스본(106동),7,15,144.52,9-1,11110,7,-,-
180000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),7,19,147.31,9,11110,7,-,-
164500,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),7,22,159.01,9,11110,9,-,-
129500,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),7,24,97.61,9,11110,7,-,-
138000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),7,29,94.51,9,11110,8,-,-
177000,2004,2021, 내수동,경희궁의아침3단지,7,19,150.48,72,11110,15,-,-
205000,2004,2021, 내수동,경희궁의아침4단지,7,31,150.48,73,11110,13,-,-
360000,2020,2021, 신문로2가,디팰리스,7,7,158.324,171,11110,16,-,-
130000,2005,2021, 수송동,로얄팰리스스위트,7,1,130.98,85,11110,17,-,-
